ALLlabels,ALLnames
1,GoodImg/Bmp/Sample001/img001-00001'
1,GoodImg/Bmp/Sample001/img001-00002'
1,GoodImg/Bmp/Sample001/img001-00003'
1,GoodImg/Bmp/Sample001/img001-00004'
1,GoodImg/Bmp/Sample001/img001-00005'
1,GoodImg/Bmp/Sample001/img001-00006'
1,GoodImg/Bmp/Sample001/img001-00007'
1,GoodImg/Bmp/Sample001/img001-00008'
1,GoodImg/Bmp/Sample001/img001-00009'
1,GoodImg/Bmp/Sample001/img001-00010'
1,GoodImg/Bmp/Sample001/img001-00011'
1,GoodImg/Bmp/Sample001/img001-00012'
1,GoodImg/Bmp/Sample001/img001-00013'
1,GoodImg/Bmp/Sample001/img001-00014'
1,GoodImg/Bmp/Sample001/img001-00015'
1,GoodImg/Bmp/Sample001/img001-00016'
1,GoodImg/Bmp/Sample001/img001-00017'
1,GoodImg/Bmp/Sample001/img001-00018'
1,GoodImg/Bmp/Sample001/img001-00019'
1,GoodImg/Bmp/Sample001/img001-00020'
1,GoodImg/Bmp/Sample001/img001-00021'
1,GoodImg/Bmp/Sample001/img001-00022'
1,GoodImg/Bmp/Sample001/img001-00023'
1,GoodImg/Bmp/Sample001/img001-00024'
1,GoodImg/Bmp/Sample001/img001-00025'
1,GoodImg/Bmp/Sample001/img001-00026'
1,GoodImg/Bmp/Sample001/img001-00027'
1,GoodImg/Bmp/Sample001/img001-00028'
1,GoodImg/Bmp/Sample001/img001-00029'
1,GoodImg/Bmp/Sample001/img001-00030'
1,GoodImg/Bmp/Sample001/img001-00031'
1,GoodImg/Bmp/Sample001/img001-00032'
1,GoodImg/Bmp/Sample001/img001-00033'
1,GoodImg/Bmp/Sample001/img001-00034'
1,GoodImg/Bmp/Sample001/img001-00035'
1,GoodImg/Bmp/Sample001/img001-00036'
1,GoodImg/Bmp/Sample001/img001-00037'
1,GoodImg/Bmp/Sample001/img001-00038'
1,GoodImg/Bmp/Sample001/img001-00039'
1,GoodImg/Bmp/Sample001/img001-00040'
1,GoodImg/Bmp/Sample001/img001-00041'
1,GoodImg/Bmp/Sample001/img001-00042'
1,GoodImg/Bmp/Sample001/img001-00043'
1,GoodImg/Bmp/Sample001/img001-00044'
1,GoodImg/Bmp/Sample001/img001-00045'
1,GoodImg/Bmp/Sample001/img001-00046'
1,GoodImg/Bmp/Sample001/img001-00047'
1,GoodImg/Bmp/Sample001/img001-00048'
1,GoodImg/Bmp/Sample001/img001-00049'
1,GoodImg/Bmp/Sample001/img001-00050'
1,GoodImg/Bmp/Sample001/img001-00051'
